Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
brenden aaronson;MFFW;Premier League;1.53;85.7;0.11;3.62;1.69;3.73
yunis abdelhamid;DF;Ligue 1;0.86;318.5;0.05;1.14;4.5;0.68
himad abdelli;MFFW;Ligue 1;1.05;188.1;0.0;2.67;3.84;3.84
salis abdul samed;MF;Ligue 1;0.6;226.9;0.0;1.6;2.6;1.25
laurent abergel;MF;Ligue 1;0.31;224.7;0.08;1.24;4.96;0.93
zakaria aboukhlal;FWMF;Ligue 1;2.75;49.6;0.24;2.34;1.98;3.17
tammy abraham;FW;Serie A;2.67;49.3;0.17;3.07;0.91;3.01
francesco acerbi;DF;Serie A;0.49;312.0;0.08;0.98;2.28;0.16
marcos acuna;DF;La Liga;1.47;327.3;0.09;3.03;4.77;2.11
che adams;FW;Premier League;2.06;48.1;0.11;2.63;1.09;1.43
tyler adams;MF;Premier League;0.11;220.9;0.0;1.84;5.53;0.89
tosin adarabioyo;DF;Premier League;0.33;296.6;0.0;0.41;2.13;0.25
karim adeyemi;FWMF;Bundesliga;2.24;86.6;0.12;3.65;1.88;5.41
amine adli;FW;Bundesliga;1.94;81.1;0.28;2.64;1.94;2.64
michel aebischer;FWMF;Serie A;1.16;150.0;0.0;2.21;0.81;0.47
emmanuel agbadou;DF;Ligue 1;0.79;316.7;0.11;1.18;3.76;0.39
alvaro aguado;MF;La Liga;0.71;248.3;0.16;3.17;1.59;1.03
kevin agudelo;MFFW;Serie A;1.13;103.3;0.0;1.88;3.38;3.38
nayef aguerd;DF;Premier League;0.88;283.3;0.0;0.18;3.33;0.18
ruben aguilar;DF;Ligue 1;0.29;310.6;0.0;1.18;3.82;0.74
naouirou ahamada;MFFW;Premier League;1.07;107.84;0.13;2.48;1.59;2.74
jean-eudes aholou;MF;Ligue 1;0.97;107.3;0.0;1.4;3.87;2.69
joseph aidoo;DF;La Liga;0.45;275.7;0.0;0.3;2.5;0.25
ola aina;DF;Serie A;0.93;278.8;0.13;2.93;2.8;4.53
rayan ait nouri;DF;Premier League;0.99;210.2;0.0;2.18;3.37;3.86
emanuel aiwum;DF;Serie A;0.26;231.3;0.0;0.88;5.44;0.53
kristoffer ajer;DF;Premier League;0.12;222.0;0.0;0.47;2.12;0.82
ludovic ajorque;FW;Ligue 1;2.59;51.87;0.09;2.68;0.62;0.54
manuel akanji;DF;Premier League;0.77;411.2;0.07;1.26;2.31;0.28
nathan ake;DF;Premier League;0.31;497.4;0.0;1.17;2.27;0.23
sergio akieme;DF;La Liga;1.05;207.1;0.0;1.57;1.9;2.14
jean-daniel akpa-akpro;MF;Serie A;1.04;133.4;0.0;1.64;4.03;2.24
kevin akpoguma;DF;Bundesliga;0.53;268.2;0.0;0.7;4.3;1.32
david alaba;DF;La Liga;0.59;263.6;0.2;1.58;1.38;0.13
jordi alba;DF;La Liga;0.87;393.5;0.29;3.98;2.14;0.78
